('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         589082 function calls (574211 primitive calls) in 4.280 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     80/1    0.000    0.000    4.280    4.280 {built-in method builtins.exec}
        1    0.000    0.000    4.280    4.280 financial_enhanced.py:1(<module>)
        1    0.000    0.000    4.124    4.124 financial_enhanced.py:5(get_page)
      874    0.006    0.000    3.679    0.004 socket.py:693(readinto)
      874    0.007    0.000    3.669    0.004 ssl.py:1237(recv_into)
      874    0.003    0.000    3.661    0.004 ssl.py:1095(read)
      874    3.658    0.004    3.658    0.004 {method 'read' of '_ssl._SSLSocket' objects}
       80    0.004    0.000    2.769    0.035 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    2.769    2.769 client.py:463(read)
        1    0.000    0.000    2.768    2.768 client.py:633(_safe_read)
        1    0.000    0.000    1.108    1.108 request.py:138(urlopen)
        1    0.000    0.000    1.080    1.080 request.py:496(open)
        1    0.000    0.000    1.080    1.080 request.py:525(_open)
        2    0.000    0.000    1.080    0.540 request.py:485(_call_chain)
        1    0.000    0.000    1.080    1.080 request.py:1391(https_open)
        1    0.000    0.000    1.080    1.080 request.py:1303(do_open)
        1    0.000    0.000    0.917    0.917 client.py:1384(getresponse)
        1    0.000    0.000    0.917    0.917 client.py:324(begin)
       26    0.000    0.000    0.914    0.035 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.838    0.838 client.py:291(_read_status)
       10    0.000    0.000    0.334    0.033 __init__.py:1(<module>)
        1    0.000    0.000    0.236    0.236 __init__.py:122(__init__)
        1    0.000    0.000    0.228    0.228 __init__.py:471(_feed)
        1    0.000    0.000    0.228    0.228 _htmlparser.py:372(feed)
        1    0.000    0.000    0.228    0.228 parser.py:104(feed)
        2    0.019    0.009    0.228    0.114 parser.py:134(goahead)
        1    0.000    0.000    0.163    0.163 client.py:1333(request)
        1    0.000    0.000    0.163    0.163 client.py:1338(_send_request)
        1    0.000    0.000    0.163    0.163 client.py:1320(endheaders)
        1    0.000    0.000    0.163    0.163 client.py:1082(_send_output)
        1    0.000    0.000    0.163    0.163 client.py:1027(send)
        1    0.000    0.000    0.163    0.163 client.py:1467(connect)
    107/5    0.001    0.000    0.158    0.032 <frozen importlib._bootstrap>:1349(_find_and_load)
    107/5    0.000    0.000    0.158    0.032 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    102/6    0.000    0.000    0.157    0.026 <frozen importlib._bootstrap>:911(_load_unlocked)
     79/6    0.000    0.000    0.157    0.026 <frozen importlib._bootstrap_external>:989(exec_module)
   230/11    0.000    0.000    0.156    0.014 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     2694    0.027    0.000    0.140    0.000 parser.py:301(parse_starttag)
        1    0.000    0.000    0.117    0.117 element.py:1(<module>)
      263    0.000    0.000    0.090    0.000 __init__.py:226(compile)
      263    0.002    0.000    0.090    0.000 __init__.py:280(_compile)
      151    0.001    0.000    0.086    0.001 _compiler.py:740(compile)
        1    0.000    0.000    0.084    0.084 ssl.py:449(wrap_socket)
        1    0.000    0.000    0.084    0.084 ssl.py:956(_create)
        1    0.000    0.000    0.084    0.084 ssl.py:1313(do_handshake)
        1    0.084    0.084    0.084    0.084 {method 'do_handshake' of '_ssl._SSLSocket' objects}
    16/12    0.000    0.000    0.081    0.007 {built-in method builtins.__import__}
        1    0.000    0.000    0.079    0.079 client.py:998(connect)
        1    0.000    0.000    0.079    0.079 socket.py:810(create_connection)
        1    0.000    0.000    0.079    0.079 client.py:245(parse_headers)
        1    0.077    0.077    0.077    0.077 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.076    0.076 client.py:213(_read_headers)
    41/31    0.000    0.000    0.076    0.002 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      289    0.004    0.000    0.075    0.000 {built-in method builtins.__build_class__}
     2694    0.008    0.000    0.070    0.000 _htmlparser.py:105(handle_starttag)
        1    0.000    0.000    0.069    0.069 css.py:1(<module>)
        1    0.000    0.000    0.067    0.067 css_parser.py:1(<module>)
     2694    0.009    0.000    0.058    0.000 __init__.py:722(handle_starttag)
      151    0.000    0.000    0.053    0.000 _parser.py:969(parse)
  948/151    0.005    0.000    0.052    0.000 _parser.py:452(_parse_sub)
 2861/157    0.017    0.000    0.051    0.000 _parser.py:512(_parse)
        1    0.000    0.000    0.046    0.046 formatter.py:1(<module>)
        1    0.000    0.000    0.046    0.046 dammit.py:1(<module>)
     2550    0.007    0.000    0.042    0.000 parser.py:379(parse_endtag)
        1    0.000    0.000    0.036    0.036 css_parser.py:418(CSSParser)
       16    0.000    0.000    0.035    0.002 css_parser.py:296(__init__)
      151    0.000    0.000    0.032    0.000 _compiler.py:573(_code)
     5630    0.009    0.000    0.032    0.000 __init__.py:586(endData)
     2695    0.004    0.000    0.032    0.000 _htmlparser.py:160(handle_endtag)
        1    0.000    0.000    0.028    0.028 dammit.py:67(EntitySubstitution)
        1    0.000    0.000    0.028    0.028 request.py:565(build_opener)
        1    0.004    0.004    0.028    0.028 dammit.py:70(_populate_class_variables)
     2693    0.003    0.000    0.028    0.000 __init__.py:763(handle_endtag)
     2695    0.008    0.000    0.027    0.000 element.py:1199(__init__)
        1    0.000    0.000    0.027    0.027 request.py:1381(__init__)
