('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         588972 function calls (574116 primitive calls) in 8.679 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    61712    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
    47030    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
46943/43027    0.006    0.000    0.007    0.000 {built-in method builtins.len}
    24863    0.022    0.000    0.022    0.000 {method 'match' of 're.Pattern' objects}
    18492    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
    18244    0.005    0.000    0.007    0.000 _parser.py:168(__getitem__)
    15047    0.003    0.000    0.003    0.000 _parser.py:240(__next)
    14777    0.003    0.000    0.003    0.000 {method 'end' of 're.Match' objects}
    14070    0.003    0.000    0.003    0.000 {method 'lower' of 'str' objects}
    14051    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
    11795    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
    10759    0.004    0.000    0.008    0.000 _markupbase.py:44(updatepos)
     9439    0.004    0.000    0.006    0.000 _parser.py:261(get)
     8578    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     8089    0.006    0.000    0.006    0.000 {method 'search' of 're.Pattern' objects}
     8053    0.007    0.000    0.007    0.000 element.py:156(setup)
     7953    0.003    0.000    0.003    0.000 {method 'count' of 'str' objects}
     7948    0.002    0.000    0.003    0.000 _parser.py:256(match)
     7664    0.002    0.000    0.002    0.000 _parser.py:164(__len__)
     5895    0.001    0.000    0.007    0.000 __init__.py:122(unescape)
     5762    0.001    0.000    0.001    0.000 element.py:1586(__bool__)
     5630    0.008    0.000    0.029    0.000 __init__.py:586(endData)
     5623    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     5513    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     5294    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     5247    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     4786    0.002    0.000    0.003    0.000 _parser.py:176(append)
     4165    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     4056    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     3818    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
     3730    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
 3314/151    0.011    0.000    0.026    0.000 _compiler.py:37(_compile)
 3272/281    0.004    0.000    0.006    0.000 _parser.py:178(getwidth)
3151/3128    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0xa43b40}
     3101    0.001    0.000    0.005    0.000 {built-in method builtins.next}
     2956    0.001    0.000    0.001    0.000 _parser.py:293(tell)
     2928    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
 2861/157    0.017    0.000    0.051    0.000 _parser.py:512(_parse)
     2796    0.000    0.000    0.000    0.000 element.py:2062(descendants)
     2795    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     2775    0.002    0.000    0.007    0.000 element.py:2303(search)
     2705    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
     2695    0.007    0.000    0.025    0.000 element.py:1199(__init__)
     2695    0.004    0.000    0.005    0.000 __init__.py:572(pushTag)
     2695    0.004    0.000    0.030    0.000 _htmlparser.py:160(handle_endtag)
     2695    0.001    0.000    0.001    0.000 __init__.py:205(can_be_empty_element)
     2695    0.001    0.000    0.001    0.000 __init__.py:453(set_up_substitutions)
     2694    0.007    0.000    0.062    0.000 _htmlparser.py:105(handle_starttag)
     2694    0.003    0.000    0.003    0.000 __init__.py:558(popTag)
     2694    0.008    0.000    0.052    0.000 __init__.py:722(handle_starttag)
     2694    0.003    0.000    0.009    0.000 parser.py:345(check_for_whole_start_tag)
     2694    0.024    0.000    0.123    0.000 parser.py:301(parse_starttag)
     2694    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
     2694    0.001    0.000    0.002    0.000 element.py:1371(is_empty_element)
     2693    0.005    0.000    0.009    0.000 __init__.py:688(_popToTag)
     2693    0.003    0.000    0.026    0.000 __init__.py:763(handle_endtag)
     2679    0.004    0.000    0.010    0.000 __init__.py:620(object_was_parsed)
     2679    0.003    0.000    0.008    0.000 element.py:943(__new__)
     2679    0.001    0.000    0.002    0.000 __init__.py:523(string_container)
     2584    0.001    0.000    0.003    0.000 _htmlparser.py:178(handle_data)
     2577    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     2577    0.009    0.000    0.014    0.000 __init__.py:295(_replace_cdata_list_attribute_values)
     2550    0.007    0.000    0.040    0.000 parser.py:379(parse_endtag)
     2550    0.000    0.000    0.000    0.000 parser.py:127(clear_cdata_mode)
     2511    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     2481    0.001    0.000    0.002    0.000 css_parser.py:307(match)
     2460    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     2443    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     2172    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     1934    0.002    0.000    0.004    0.000 __init__.py:91(_replace_charref)
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1746    0.001    0.000    0.001    0.000 ssl.py:1083(_checkClosed)
     1670    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1515    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     1451    0.001    0.000    0.004    0.000 element.py:2240(search_tag)
     1425    0.002    0.000    0.002    0.000 __init__.py:648(_linkage_fixer)
     1170    0.001    0.000    0.001    0.000 enum.py:1544(_get_value)
     1098    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1032    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      979    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
      952    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
  948/151    0.005    0.000    0.052    0.000 _parser.py:452(_parse_sub)
      900    0.001    0.000    0.001    0.000 _parser.py:172(__setitem__)
      874    0.001    0.000    0.001    0.000 {method '__exit__' of 'memoryview' objects}
      873    0.001    0.000    0.001    0.000 socket.py:732(readable)
      872    0.003    0.000    0.003    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      872    0.002    0.000    0.004    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      872    0.004    0.000    7.928    0.009 ssl.py:1095(read)
      872    0.010    0.000    7.939    0.009 ssl.py:1237(recv_into)
      872    7.923    0.009    7.923    0.009 {method 'read' of '_ssl._SSLSocket' objects}
      872    0.008    0.000    7.953    0.009 socket.py:693(readinto)
      845    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      829    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      829    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
  796/337    0.001    0.000    0.003    0.000 element.py:2336(_matches)
      721    0.002    0.000    0.006    0.000 {method 'sub' of 're.Pattern' objects}
      669    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      644    0.000    0.000    0.000    0.000 element.py:2203(_normalize_search_value)
      626    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      623    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      619    0.001    0.000    0.001    0.000 _parser.py:449(_uniq)
      585    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      568    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      559    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      556    0.001    0.000    0.001    0.000 _compiler.py:216(_compile_charset)
      556    0.005    0.000    0.007    0.000 _compiler.py:243(_optimize_charset)
      525    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      525    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
