('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         678362 function calls (659984 primitive calls) in 8.725 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    162/1    0.001    0.000    8.726    8.726 {built-in method builtins.exec}
        1    0.000    0.000    8.726    8.726 financial.py:1(<module>)
        1    0.000    0.000    8.477    8.477 financial.py:6(get_page)
        1    5.000    5.000    5.000    5.000 {built-in method time.sleep}
        1    0.000    0.000    3.259    3.259 api.py:62(get)
        1    0.000    0.000    3.259    3.259 api.py:14(request)
        1    0.000    0.000    3.259    3.259 sessions.py:500(request)
        1    0.000    0.000    3.257    3.257 sessions.py:673(send)
      320    0.003    0.000    2.558    0.008 socket.py:693(readinto)
      320    0.004    0.000    2.553    0.008 ssl.py:1237(recv_into)
      320    0.001    0.000    2.548    0.008 ssl.py:1095(read)
      320    2.547    0.008    2.547    0.008 {method 'read' of '_ssl._SSLSocket' objects}
       11    0.004    0.000    1.693    0.154 {method 'join' of 'bytes' objects}
        2    0.000    0.000    1.693    0.846 models.py:890(content)
       42    0.000    0.000    1.689    0.040 models.py:816(generate)
       42    0.000    0.000    1.689    0.040 response.py:1044(stream)
       42    0.001    0.000    1.689    0.040 response.py:1173(read_chunked)
      222    0.004    0.000    1.663    0.007 {method 'read' of '_io.BufferedReader' objects}
       41    0.000    0.000    1.662    0.041 response.py:1151(_handle_chunk)
       62    0.000    0.000    1.662    0.027 client.py:633(_safe_read)
        1    0.000    0.000    1.564    1.564 adapters.py:613(send)
        1    0.000    0.000    1.563    1.563 connectionpool.py:592(urlopen)
        1    0.000    0.000    1.563    1.563 connectionpool.py:377(_make_request)
        1    0.000    0.000    0.903    0.903 connection.py:485(getresponse)
        1    0.000    0.000    0.902    0.902 client.py:1384(getresponse)
        1    0.000    0.000    0.902    0.902 client.py:324(begin)
       50    0.000    0.000    0.900    0.018 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.739    0.739 client.py:291(_read_status)
        1    0.000    0.000    0.659    0.659 connectionpool.py:1085(_validate_conn)
        1    0.000    0.000    0.659    0.659 connection.py:669(connect)
       21    0.000    0.000    0.588    0.028 __init__.py:1(<module>)
        1    0.000    0.000    0.444    0.444 connection.py:846(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.443    0.443 ssl_.py:390(ssl_wrap_socket)
        1    0.000    0.000    0.443    0.443 ssl_.py:488(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.443    0.443 ssl.py:449(wrap_socket)
        1    0.000    0.000    0.443    0.443 ssl.py:956(_create)
        1    0.000    0.000    0.443    0.443 ssl.py:1313(do_handshake)
        1    0.443    0.443    0.443    0.443 {method 'do_handshake' of '_ssl._SSLSocket' objects}
    214/4    0.001    0.000    0.249    0.062 <frozen importlib._bootstrap>:1349(_find_and_load)
    212/4    0.001    0.000    0.249    0.062 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    187/4    0.001    0.000    0.248    0.062 <frozen importlib._bootstrap>:911(_load_unlocked)
    160/4    0.000    0.000    0.248    0.062 <frozen importlib._bootstrap_external>:989(exec_module)
    432/8    0.000    0.000    0.248    0.031 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.215    0.215 connection.py:192(_new_conn)
        1    0.000    0.000    0.215    0.215 connection.py:27(create_connection)
        1    0.000    0.000    0.208    0.208 __init__.py:122(__init__)
        1    0.000    0.000    0.204    0.204 __init__.py:471(_feed)
        1    0.000    0.000    0.204    0.204 _htmlparser.py:372(feed)
        1    0.000    0.000    0.204    0.204 parser.py:104(feed)
        2    0.017    0.009    0.204    0.102 parser.py:134(goahead)
    30/17    0.000    0.000    0.173    0.010 {built-in method builtins.__import__}
        1    0.000    0.000    0.163    0.163 client.py:245(parse_headers)
        1    0.000    0.000    0.161    0.161 client.py:213(_read_headers)
    76/43    0.000    0.000    0.148    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
