('Total Revenue', '254,190,000.00', '245,122,000.00', '211,915,000.00', '198,270,000.00', '168,088,000.00')
         678126 function calls (659768 primitive calls) in 1.897 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    162/1    0.001    0.000    1.897    1.897 {built-in method builtins.exec}
        1    0.000    0.000    1.897    1.897 financial.py:1(<module>)
        1    0.000    0.000    1.647    1.647 financial.py:5(get_page)
        1    0.000    0.000    1.414    1.414 api.py:62(get)
        1    0.000    0.000    1.413    1.413 api.py:14(request)
        1    0.000    0.000    1.413    1.413 sessions.py:500(request)
        1    0.000    0.000    1.412    1.412 sessions.py:673(send)
      308    0.002    0.000    1.088    0.004 socket.py:693(readinto)
      308    0.002    0.000    1.085    0.004 ssl.py:1237(recv_into)
      308    0.001    0.000    1.082    0.004 ssl.py:1095(read)
      308    1.081    0.004    1.081    0.004 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    1.065    1.065 adapters.py:613(send)
        1    0.000    0.000    1.064    1.064 connectionpool.py:592(urlopen)
        1    0.000    0.000    1.064    1.064 connectionpool.py:377(_make_request)
        1    0.000    0.000    0.773    0.773 connection.py:485(getresponse)
        1    0.000    0.000    0.772    0.772 client.py:1384(getresponse)
        1    0.000    0.000    0.772    0.772 client.py:324(begin)
       51    0.000    0.000    0.769    0.015 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.691    0.691 client.py:291(_read_status)
       21    0.000    0.000    0.592    0.028 __init__.py:1(<module>)
       11    0.003    0.000    0.346    0.031 {method 'join' of 'bytes' objects}
        2    0.000    0.000    0.346    0.173 models.py:890(content)
       42    0.000    0.000    0.343    0.008 models.py:816(generate)
       42    0.000    0.000    0.343    0.008 response.py:1044(stream)
       42    0.001    0.000    0.343    0.008 response.py:1173(read_chunked)
      223    0.005    0.000    0.324    0.001 {method 'read' of '_io.BufferedReader' objects}
       41    0.000    0.000    0.321    0.008 response.py:1151(_handle_chunk)
       63    0.000    0.000    0.321    0.005 client.py:633(_safe_read)
        1    0.000    0.000    0.290    0.290 connectionpool.py:1085(_validate_conn)
        1    0.000    0.000    0.290    0.290 connection.py:669(connect)
    214/4    0.001    0.000    0.251    0.063 <frozen importlib._bootstrap>:1349(_find_and_load)
    212/4    0.001    0.000    0.251    0.063 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
    187/4    0.001    0.000    0.250    0.063 <frozen importlib._bootstrap>:911(_load_unlocked)
    160/4    0.000    0.000    0.250    0.062 <frozen importlib._bootstrap_external>:989(exec_module)
    432/8    0.000    0.000    0.249    0.031 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
        1    0.000    0.000    0.223    0.223 __init__.py:122(__init__)
        1    0.000    0.000    0.214    0.214 __init__.py:471(_feed)
        1    0.000    0.000    0.214    0.214 _htmlparser.py:372(feed)
        1    0.000    0.000    0.214    0.214 parser.py:104(feed)
        2    0.018    0.009    0.214    0.107 parser.py:134(goahead)
        1    0.000    0.000    0.209    0.209 connection.py:192(_new_conn)
        1    0.000    0.000    0.209    0.209 connection.py:27(create_connection)
    30/17    0.000    0.000    0.174    0.010 {built-in method builtins.__import__}
    76/43    0.000    0.000    0.148    0.003 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     2694    0.025    0.000    0.131    0.000 parser.py:301(parse_starttag)
        1    0.000    0.000    0.129    0.129 socket.py:946(getaddrinfo)
        1    0.129    0.129    0.129    0.129 {built-in method _socket.getaddrinfo}
        1    0.000    0.000    0.116    0.116 element.py:1(<module>)
      303    0.002    0.000    0.114    0.000 __init__.py:280(_compile)
      301    0.000    0.000    0.114    0.000 __init__.py:226(compile)
      188    0.001    0.000    0.109    0.001 _compiler.py:740(compile)
  512/508    0.006    0.000    0.084    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.081    0.081 connection.py:846(_ssl_wrap_socket_and_match_hostname)
        1    0.000    0.000    0.081    0.081 client.py:245(parse_headers)
        1    0.000    0.000    0.081    0.081 ssl_.py:390(ssl_wrap_socket)
        1    0.000    0.000    0.081    0.081 ssl_.py:488(_ssl_wrap_socket_impl)
        1    0.000    0.000    0.081    0.081 ssl.py:449(wrap_socket)
        1    0.000    0.000    0.081    0.081 ssl.py:956(_create)
        1    0.000    0.000    0.080    0.080 ssl.py:1313(do_handshake)
        1    0.080    0.080    0.080    0.080 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.080    0.080    0.080    0.080 {method 'connect' of '_socket.socket' objects}
        1    0.000    0.000    0.078    0.078 client.py:213(_read_headers)
        1    0.000    0.000    0.069    0.069 css.py:1(<module>)
      188    0.001    0.000    0.068    0.000 _parser.py:969(parse)
 1205/188    0.005    0.000    0.067    0.000 _parser.py:452(_parse_sub)
        1    0.000    0.000    0.066    0.066 css_parser.py:1(<module>)
     2694    0.007    0.000    0.066    0.000 _htmlparser.py:105(handle_starttag)
 3213/196    0.023    0.000    0.066    0.000 _parser.py:512(_parse)
     2694    0.009    0.000    0.055    0.000 __init__.py:722(handle_starttag)
        1    0.000    0.000    0.046    0.046 formatter.py:1(<module>)
        1    0.000    0.000    0.046    0.046 dammit.py:1(<module>)
     2550    0.007    0.000    0.041    0.000 parser.py:379(parse_endtag)
        2    0.000    0.000    0.041    0.020 api.py:1(<module>)
      188    0.000    0.000    0.040    0.000 _compiler.py:573(_code)
        2    0.000    0.000    0.037    0.019 exceptions.py:1(<module>)
        1    0.000    0.000    0.036    0.036 css_parser.py:418(CSSParser)
       16    0.000    0.000    0.034    0.002 css_parser.py:296(__init__)
 3970/188    0.014    0.000    0.034    0.000 _compiler.py:37(_compile)
        1    0.000    0.000    0.032    0.032 sessions.py:1(<module>)
        1    0.000    0.000    0.031    0.031 adapters.py:1(<module>)
     2695    0.004    0.000    0.031    0.000 _htmlparser.py:160(handle_endtag)
     5630    0.008    0.000    0.031    0.000 __init__.py:586(endData)
        1    0.000    0.000    0.028    0.028 dammit.py:67(EntitySubstitution)
        1    0.004    0.004    0.028    0.028 dammit.py:70(_populate_class_variables)
        1    0.027    0.027    0.027    0.027 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     2693    0.003    0.000    0.027    0.000 __init__.py:763(handle_endtag)
     2695    0.007    0.000    0.026    0.000 element.py:1199(__init__)
      160    0.001    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1062(get_code)
        1    0.000    0.000    0.024    0.024 _base_connection.py:1(<module>)
    24882    0.023    0.000    0.023    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.021    0.021 connectionpool.py:1(<module>)
       41    0.000    0.000    0.021    0.001 response.py:469(_decode)
       42    0.002    0.000    0.021    0.000 response.py:122(decompress)
        1    0.000    0.000    0.019    0.019 ssl_.py:1(<module>)
       41    0.019    0.000    0.019    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        1    0.000    0.000    0.019    0.019 client.py:1(<module>)
        1    0.000    0.000    0.018    0.018 _request_methods.py:1(<module>)
        1    0.000    0.000    0.018    0.018 css_parser.py:316(__init__)
        1    0.000    0.000    0.017    0.017 url.py:1(<module>)
        3    0.000    0.000    0.016    0.005 response.py:1(<module>)
        2    0.000    0.000    0.016    0.008 connection.py:1(<module>)
       14    0.000    0.000    0.015    0.001 css_parser.py:1135(process_selectors)
